positive,negative,not,degree-1,degree-2,degree-3,degree-4,degree-5,degree-6
妒羨,操心,少,,,,,,
多留個心眼兒,詫,毋須,,,,,,
墮入愛河,詫異,未,,,,,,
墮入情網,詫愕,未必,,,,,,
額手稱慶,嘲罵,未有,,,,,,
反哺,嘲謔,未曾,,,,,,
放膽,沉悶,用不到,,,,,,
放在心上,沉痛,別,,,,,,
費心,沉吟,否,,,,,,
封禪,沉鬱,否決,,,,,,
瘋魔,沉重,否定,,,,,,
奉,誠惶誠恐,否認,,,,,,
奉若神明,吃不準,決不,,,,,,
奉迎,吃錯藥,沒人,,,,,,
俯允,吃後悔藥,沒什麼,,,,,,
甘,痴愣,沒出息,,,,,,
甘心,持異議,沒正經,,,,,,
甘心情願,遲疑,沒用,,,,,,
甘願,遲疑不決,沒有,,,,,,
感,恥罵,沒志氣,,,,,,
感恩,斥,沒見識,,,,,,
感恩戴德,斥罵,沒事,,,,,,
感激,斥責,沒空,,,,,,
感激不盡,躊躇,沒長進,,,,,,
感激涕零,躊躇不決,沒指望,,,,,,
感同身受,躊躇不前,沒架子,,,,,,
感謝,愁,沒甚麼,,,,,,
感興趣,愁慘,沒意思,,,,,,
敢,愁腸百結,沒話說,,,,,,
高看,愁眉不展,沒輒,,,,,,
高山仰止,愁眉緊鎖,沒趣,,,,,,
高興,愁眉苦臉,沒錯,,,,,,
歌頌,愁眉鎖眼,沒關係,,,,,,
留面子,愁悶,並非,,,,,,
給臉,愁容滿面,尚未,,,,,,
給面子,仇恨,非,,,,,,
恭而敬之,仇視,非得,,,,,,
恭賀,臭罵,豈不,,,,,,
恭敬,出氣,豈不是,,,,,,
恭維,出神,從不,,,,,,
恭喜,吹鬍子瞪眼,從未,,,,,,
恭祝,捶胸頓足,毫不,,,,,,
供奉,垂憐,毫無,,,,,,
公祭,垂頭喪氣,莫,,,,,,
拱手,戳壁腳,莫非,,,,,,
顧,戳脊梁骨,無,,,,,,
顧及,刺打,無力,,,,,,
顧盼自雄,躥火,無不,,,,,,
顧全,錯愕,無止境,,,,,,
顧惜,打罵,無由,,,,,,
掛牽,打入冷宮,無有,,,,,,
關愛,打入十八層地獄,無妨,,,,,,
關懷,打問號,無足輕重,,,,,,
關懷備至,打怵,無依無靠,,,,,,
關切,大吃一驚,無法,,,,,,
關心,大跌眼鏡,無非,,,,,,
關照,大動肝火,無計,,,,,,
關注,大發雷霆,無庸置疑,,,,,,
管,大驚失色,無從,,,,,,
貫注,大罵,無情,,,,,,
鬼迷心竅,大失所望,無理,,,,,,
跪拜,呆,無異,,,,,,
跪叩,呆若木雞,無視,,,,,,
過,呆怔,無須,,,,,,
過獎,呆滯,無意,,,,,,
過問,呆住,無暇,,,,,,
過譽,呆愣愣,無寧,,,,,,
哈,貸,無疑,,,,,,
酣暢,擔驚受怕,無窮,,,,,,
豪情滿懷,擔心,無趣,,,,,,
好,擔憂,無禮,,,,,,
好奇,膽顫心驚,無關,,,,,,
好情,膽寒,絕不,,,,,,
喝彩,膽戰心驚,絕非,,,,,,
合掌,憚,絕無,,,,,,
賀,當緊,暫不,,,,,,
狠抓,當頭棒喝,還不是,,,,,,
恨不得,得饒人處且饒人,難以,,,,,,
恨不能,等不及,,,,,,,
橫心,等閒視之,,,,,,,
厚望,瞪眼,,,,,,,
懷,低沉,,,,,,,
懷戀,低落,,,,,,,
懷念,敵視,,,,,,,
懷想,惦,,,,,,,
歡,惦掛,,,,,,,
歡暢,惦記,,,,,,,
歡歡喜喜,惦念,,,,,,,
歡快,掉魂,,,,,,,
歡樂,掉以輕心,,,,,,,
歡鬧,跌眼鏡,,,,,,,
歡聲雷動,動肝火,,,,,,,
歡騰,動火,,,,,,,
歡天喜地,動怒,,,,,,,
歡慰,動氣,,,,,,,
歡喜,動搖,,,,,,,
歡欣,恫,,,,,,,
歡欣鼓舞,鬥,,,,,,,
歡迎,鬥爭,,,,,,,
歡愉,堵,,,,,,,
歡娛,堵得慌,,,,,,,
歡悅,堵心,,,,,,,
歡忭,斷腸,,,,,,,
還禮,斷魂,,,,,,,
回敬,頓生疑竇,,,,,,,
回禮,頓足捶胸,,,,,,,
魂牽夢繫,多慮,,,,,,,
魂牽夢縈,多有微詞,,,,,,,
豁朗,惡,,,,,,,
稽首,惡罵,,,,,,,
極熱心,扼腕,,,,,,,
集中,耳熱,,,,,,,
集注,發愁,,,,,,,
急,發呆,,,,,,,
嫉,發狠,,,,,,,
嫉妒,發火,,,,,,,
冀,發急,,,,,,,
冀求,發牢騷,,,,,,,
冀望,發毛,,,,,,,
祭,發怒,,,,,,,
祭拜,發脾氣,,,,,,,
祭奠,發怔,,,,,,,
祭掃,髮指,,,,,,,
祭祀,發作,,,,,,,
記掛,發怵,,,,,,,
忌,發愣,,,,,,,
忌妒,發飆,,,,,,,
嘉,翻然悔悟,,,,,,,
嘉獎,煩,,,,,,,
嘉許,煩愁,,,,,,,
夾道歡迎,煩悶,,,,,,,
兼顧,煩惱,,,,,,,
檢點,煩膩,,,,,,,
見愛,煩擾,,,,,,,
見義勇為,煩神,,,,,,,
獎,煩厭,,,,,,,
獎勵,煩憂,,,,,,,
獎賞,煩躁,,,,,,,
獎掖,反脣相譏,,,,,,,
講,反感,,,,,,,
講究,犯愁,,,,,,,
講求,犯急,,,,,,,
交口稱譽,犯難,,,,,,,
交口稱讚,犯疑心病,,,,,,,
叫好,犯怵,,,,,,,
叫絕,非常悲哀,,,,,,,
接受,非難,,,,,,,
皆大歡喜,非議,,,,,,,
盡,費精神,,,,,,,
盡孝,費神,,,,,,,
盡忠,忿忿,,,,,,,
驚喜,忿忿不平,,,,,,,
景仰,忿忿然,,,,,,,
敬,忿恨,,,,,,,
敬愛,忿怒,,,,,,,
敬奉,忿恚,,,,,,,
敬服,忿懣,,,,,,,
敬賀,憤憤,,,,,,,
敬禮,憤憤不平,,,,,,,
敬慕,憤憤然,,,,,,,
敬佩,憤恨,,,,,,,
敬若神明,憤怒,,,,,,,
敬畏,憤世嫉俗,,,,,,,
敬仰,憤懣,,,,,,,
敬重,諷,,,,,,,
敬祝,諷刺,,,,,,,
竟敢,付之一笑,,,,,,,
鞠躬,負疚,,,,,,,
聚焦,負氣,,,,,,,
聚精會神,肝腸寸斷,,,,,,,
眷愛,感傷,,,,,,,
眷戀,一點顏色看看,,,,,,,
眷念,攻擊,,,,,,,
開綠燈,骨鯁在喉,,,,,,,
開心,顧忌,,,,,,,
看車,顧慮,,,,,,,
看得起,顧慮重重,,,,,,,
看得上,顧念,,,,,,,
看得上眼,寡歡,,,,,,,
看上,掛,,,,,,,
看上眼,掛懷,,,,,,,
看在,掛火,,,,,,,
看中,掛記,,,,,,,
看重,掛慮,,,,,,,
考究,掛念,,,,,,,
磕頭,掛牽,,,,,,,
渴慕,掛心,,,,,,,
渴念,怪,,,,,,,
渴盼,怪罪,,,,,,,
渴求,光火,,,,,,,
渴望,過不去,,,,,,,
渴想,過分操心,,,,,,,
肯,過慮,,,,,,,
肯定,過意不去,,,,,,,
肯於,害怕,,,,,,,
口角春風,害羞,,,,,,,
酷愛,害臊,,,,,,,
酷好,駭,,,,,,,
誇,駭怪,,,,,,,
誇獎,駭懼,,,,,,,
誇讚,駭怕,,,,,,,
快,駭然失色,,,,,,,
快活,駭異,,,,,,,
快樂,駭愕,,,,,,,
快慰,含悲,,,,,,,
快意,含憤,,,,,,,
寬暢,含恨,,,,,,,
寬鬆,含怒,,,,,,,
狂喜,含沙射影,,,,,,,
狂想,含羞,,,,,,,
來神,含怨,,,,,,,
樂,涵容,,,,,,,
樂不可支,寒,,,,,,,
樂顛顛,寒心,,,,,,,
樂呵呵,憾,,,,,,,
樂樂呵呵,悍然不顧,,,,,,,
樂陶陶,汗顏,,,,,,,
樂意,毫不在乎,,,,,,,
樂悠悠,呵,,,,,,,
樂於,呵斥,,,,,,,
樂滋滋,呵責,,,,,,,
理會,呵叱,,,,,,,
理直氣壯,喝斥,,,,,,,
禮贊,喝叱,,,,,,,
立項,恨,,,,,,,
力主,恨入骨髓,,,,,,,
憐愛,恨鐵不成鋼,,,,,,,
戀,恨之入骨,,,,,,,
戀愛,紅臉,,,,,,,
戀戀不捨,紅眼,,,,,,,
領情,猴兒急,,,,,,,
留個心眼兒,後顧之憂,,,,,,,
留神,後悔,,,,,,,
留心,後悔莫及,,,,,,,
留意,後怕,,,,,,,
論功行賞,忽略,,,,,,,
買帳,忽視,,,,,,,
滿,狐疑不決,,,,,,,
滿懷豪情,虎著臉,,,,,,,
滿懷激情,懷恨,,,,,,,
滿面春風,懷恨在心,,,,,,,
滿心歡喜,懷疑,,,,,,,
滿意,壞情,,,,,,,
滿足,患,,,,,,,
眉飛色舞,荒,,,,,,,
美,荒廢,,,,,,,
美言,慌恐,,,,,,,
美滋滋,皇皇,,,,,,,
夢魂縈繞,惶,,,,,,,
夢寐以求,惶惶,,,,,,,
夢想,惶惶不安,,,,,,,
迷,惶惶不可終日,,,,,,,
迷戀,惶惶然,,,,,,,
迷上,惶惑,,,,,,,
面有喜色,惶懼,,,,,,,
鳴謝,惶恐,,,,,,,
謬獎,惶恐不安,,,,,,,
膜拜,惶然,,,,,,,
默認,惶然不安,,,,,,,
默許,惶悚,,,,,,,
慕,惶遽,,,,,,,
慕名,灰溜溜,,,,,,,
溺愛,灰頭灰臉,,,,,,,
念,灰頭土臉,,,,,,,
拍案叫絕,灰心,,,,,,,
拍手稱快,灰心喪氣,,,,,,,
拍手叫好,回頭,,,,,,,
盼,悔,,,,,,,
盼念,悔不當初,,,,,,,
盼望,悔不該,,,,,,,
佩,悔恨,,,,,,,
佩服,悔悟,,,,,,,
捧場,悔之不及,,,,,,,
批准,悔之晚矣,,,,,,,
偏愛,悔之無及,,,,,,,
偏寵,魂不附體,,,,,,,
偏好,魂飛魄散,,,,,,,
偏重,魂飛天外,,,,,,,
飄飄然,火,,,,,,,
飄飄欲仙,火急火燎,,,,,,,
迫切需要,火冒三丈,,,,,,,
普天同慶,火燒火燎,,,,,,,
期,火頭上,,,,,,,
期待,飢不擇食,,,,,,,
期盼,激憤,,,,,,,
期望,譏嘲,,,,,,,
祈盼,譏刺,,,,,,,
起敬,譏諷,,,,,,,
企,譏訕,,,,,,,
企慕,譏誚,,,,,,,
企盼,雞蛋裡挑骨頭,,,,,,,
企望,極度悲哀,,,,,,,
器重,極度悲傷,,,,,,,
牽腸掛肚,急,,,,,,,
牽掛,急巴巴,,,,,,,
千恩萬謝,急急巴巴,,,,,,,
敲邊鼓,急死,,,,,,,
瞧得起,急眼,,,,,,,
瞧得上眼,疾,,,,,,,
翹盼,嫉恨,,,,,,,
翹企,悸慄,,,,,,,
翹望,忌,,,,,,,
欽,忌憚,,,,,,,
欽佩,忌恨,,,,,,,
親熱,見怪,,,,,,,
親熱親熱,見罪,,,,,,,
輕快,將心比心,,,,,,,
傾慕,將信將疑,,,,,,,
傾向,焦愁,,,,,,,
傾心,焦急,,,,,,,
情有獨鍾,焦慮,,,,,,,
情願,焦心,,,,,,,
慶,焦炙,,,,,,,
慶賀,焦灼,,,,,,,
慶倖,嬌羞,,,,,,,
慶祝,教訓,,,,,,,
圈定,叫苦,,,,,,,
饒有興趣,叫苦不迭,,,,,,,
熱心,叫苦連天,,,,,,,
人心大快,叫罵,,,,,,,
認,叫囂,,,,,,,
認可,解氣,,,,,,,
認了,借古諷今,,,,,,,
認命,介懷,,,,,,,
日有所思,介意,,,,,,,
融融,進退兩難,,,,,,,
容,進退維谷,,,,,,,
容許,驚,,,,,,,
如癡如狂,驚怖,,,,,,,
如癡如醉,驚詫,,,,,,,
如獲至寶,驚呆,,,,,,,
如意,驚怪,,,,,,,
如願以償,驚駭,,,,,,,
如醉如癡,驚慌,,,,,,,
入迷,驚慌失措,,,,,,,
入魔,驚惶,,,,,,,
入神,驚懼,,,,,,,
賞,驚恐,,,,,,,
賞識,驚怕,,,,,,,
賞賚,驚奇,,,,,,,
尚,驚奇不已,,,,,,,
燒高香,驚歎,,,,,,,
奢望,驚訝,,,,,,,
申謝,驚疑,,,,,,,
伸張,驚異,,,,,,,
神魂顛倒,驚悚,,,,,,,
神往,驚愕,,,,,,,
甚感歡慰,窘,,,,,,,
盛讚,窘迫,,,,,,,
施禮,揪心,,,,,,,
十分滿意,疚愧,,,,,,,
示好,拘束,,,,,,,
示同意,舉棋不定,,,,,,,
示喜,沮,,,,,,,
釋放善意,沮喪,,,,,,,
手舞足蹈,懼,,,,,,,
首肯,懼怕,,,,,,,
守候,眷顧,,,,,,,
守歲,覺得自己理虧,,,,,,,
舒暢,絕望,,,,,,,
舒服,開炮,,,,,,,
舒坦,看扁,,,,,,,
屬望,看不慣,,,,,,,
屬意,看不開,,,,,,,
樹碑立傳,看不起,,,,,,,
爽,看不上,,,,,,,
爽快,看不上眼,,,,,,,
